sample_id,npz_path,title,ese_path,course,duration_frames,clipped,parsed_note_count,manifest_note_count,combo
000635_r700,data\cache\encoder_v1\000635_r700.npz,恋幻想（Love Fantasy）,D:\taiko\ESE-master\ese\09 Namco Original\Koi Gensou -Love Fantasy-\Koi Gensou -Love Fantasy-.tja,Oni,2649,False,649,649,649
001261_r1406,data\cache\encoder_v1\001261_r1406.npz,カラフル・パーティ,D:\taiko\ESE-master\ese\04 Children and Folk\Colorful Party\Colorful Party.tja,Oni,2019,False,225,225,225
000340_r374,data\cache\encoder_v1\000340_r374.npz,X-DAY2000,D:\taiko\ESE-master\ese\09 Namco Original\XDAY 2000\X-DAY 2000.tja,Oni,2449,False,765,765,765
000846_r942,data\cache\encoder_v1\000846_r942.npz,Bad Apple!! feat.nomico,D:\taiko\ESE-master\ese\05 Variety\Bad Apple!!\Bad Apple!!.tja,Oni,2436,False,544,544,544
001066_r1188,data\cache\encoder_v1\001066_r1188.npz,Angelic Angel,D:\taiko\ESE-master\ese\02 Anime\Angelic Angel\Angelic Angel.tja,Oni,2602,False,554,554,554
000794_r885,data\cache\encoder_v1\000794_r885.npz,和蘭撫子,D:\taiko\ESE-master\ese\09 Namco Original\Carnation\Carnation.tja,Oni,2205,False,506,506,506
000777_r865,data\cache\encoder_v1\000777_r865.npz,SORA‐Ⅴ コズミックバード,D:\taiko\ESE-master\ese\09 Namco Original\SORA-V Cosmic Bird\SORA-V Cosmic Bird.tja,Oni,2375,False,354,354,354
001150_r1283,data\cache\encoder_v1\001150_r1283.npz,ごめんなさいのKissing You,D:\taiko\ESE-master\ese\01 Pop\Gomennasai no Kissing You\Gomennasai no Kissing You.tja,Oni,1953,False,336,336,336
000444_r483,data\cache\encoder_v1\000444_r483.npz,あめふりのロンド,D:\taiko\ESE-master\ese\07 Game Music\Amefuri no Rondo\Amefuri no Rondo.tja,Oni,2616,False,523,523,523
000406_r441,data\cache\encoder_v1\000406_r441.npz,Extreme MGG★★★(裏),D:\taiko\ESE-master\ese\07 Game Music\Extreme MGG★★★\Extreme MGG.tja,Edit,2618,False,757,757,757
000409_r445,data\cache\encoder_v1\000409_r445.npz,B.B.K.K.B.K.K.,D:\taiko\ESE-master\ese\05 Variety\BBKKBKK\BBKKBKK.tja,Oni,2707,False,853,853,853
000225_r251,data\cache\encoder_v1\000225_r251.npz,wonderful ROUTINE,D:\taiko\ESE-master\ese\09 Namco Original\wonderful ROUTINE\wonderful ROUTINE.tja,Oni,2481,False,777,777,777
000670_r740,data\cache\encoder_v1\000670_r740.npz,東京特許キョ許可局局長!!,D:\taiko\ESE-master\ese\09 Namco Original\Tokyo Tokkyo-kyo Kyokakyoku Kyokuchou!!\Tokyo Tokkyo-kyo Kyokakyoku Kyokuchou!!.tja,Oni,3074,False,840,840,840
000276_r308,data\cache\encoder_v1\000276_r308.npz,ラヴ♡スパイス♡ライクユー!!!,D:\taiko\ESE-master\ese\09 Namco Original\Love Spice Like You!!!\Love Spice Like You!!!.tja,Oni,2611,False,934,934,934
000222_r248,data\cache\encoder_v1\000222_r248.npz,D′s Adventure Note,D:\taiko\ESE-master\ese\09 Namco Original\Ds Adventure Note\D’s Adventure Note.tja,Oni,2675,False,872,872,872
000471_r515,data\cache\encoder_v1\000471_r515.npz,トンデ・ミテ,D:\taiko\ESE-master\ese\09 Namco Original\Tonde Mite\Tonde Mite.tja,Oni,2860,False,559,559,559
000765_r848,data\cache\encoder_v1\000765_r848.npz,共奏鼓祭,D:\taiko\ESE-master\ese\09 Namco Original\Kyousou Kosai\Kyousou Kosai.tja,Oni,2820,False,647,647,647
000350_r385,data\cache\encoder_v1\000350_r385.npz,KUSANAGI,D:\taiko\ESE-master\ese\09 Namco Original\KUSANAGI\KUSANAGI.tja,Oni,2585,False,745,745,745
000378_r413,data\cache\encoder_v1\000378_r413.npz,アサルト BGM1(裏),D:\taiko\ESE-master\ese\07 Game Music\Assault BGM1\Assault BGM1.tja,Edit,2429,False,761,761,761
000302_r335,data\cache\encoder_v1\000302_r335.npz,闇の魔法少女,D:\taiko\ESE-master\ese\09 Namco Original\Yami no Mahou Shoujo\Yami no Mahou Shoujo.tja,Oni,3231,False,1158,1158,1158
001121_r1251,data\cache\encoder_v1\001121_r1251.npz,季曲,D:\taiko\ESE-master\ese\09 Namco Original\Kikyoku Seasons of Asia\Kikyoku Seasons of Asia.tja,Oni,3137,False,536,536,536
000219_r245,data\cache\encoder_v1\000219_r245.npz,蛇鉄,D:\taiko\ESE-master\ese\09 Namco Original\Jatetsu\Jatetsu.tja,Oni,3477,False,1025,1025,1025
000771_r857,data\cache\encoder_v1\000771_r857.npz,見たこともない景色(裏),D:\taiko\ESE-master\ese\01 Pop\Mita-koto mo Nai Keshiki\Mita-koto mo Nai Keshiki.tja,Edit,2286,False,579,579,579
000029_r35,data\cache\encoder_v1\000029_r35.npz,最果の魔法使い(裏),D:\taiko\ESE-master\ese\09 Namco Original\Sai Hate no Mahoutsukai\Sai Hate no Mahoutsukai.tja,Edit,2893,False,1167,1167,1167
000224_r250,data\cache\encoder_v1\000224_r250.npz,きゅうくらりん(裏),D:\taiko\ESE-master\ese\01 Pop\Kyu-kurarin\Kyu-kurarin.tja,Edit,2492,False,862,862,862
000361_r396,data\cache\encoder_v1\000361_r396.npz,ガンスリンガーシンデレラ,D:\taiko\ESE-master\ese\09 Namco Original\Gunslinger Cinderella\Gunslinger Cinderella.tja,Oni,2849,False,861,861,861
001240_r1384,data\cache\encoder_v1\001240_r1384.npz,Fairy Tale,D:\taiko\ESE-master\ese\01 Pop\Fairy Tale\Fairy Tale.tja,Oni,2262,False,227,227,227
000952_r1064,data\cache\encoder_v1\000952_r1064.npz,世界はあなたに笑いかけている,D:\taiko\ESE-master\ese\01 Pop\Sekai wa Anata ni Waraikakete Iru\Sekai wa Anata ni Waraikakete Iru.tja,Oni,2265,False,351,351,351
000391_r426,data\cache\encoder_v1\000391_r426.npz,夜明けまであと3秒,D:\taiko\ESE-master\ese\07 Game Music\Yoake Made Ato 3-byou\Yoake Made Ato 3-byou.tja,Oni,2848,False,814,814,814
000940_r1049,data\cache\encoder_v1\000940_r1049.npz,限界クリエイター応援歌,D:\taiko\ESE-master\ese\09 Namco Original\Genkai Creator Ouenka\Genkai Creator Ouenka.tja,Oni,2768,False,649,649,649
001196_r1338,data\cache\encoder_v1\001196_r1338.npz,スキスキ星人,D:\taiko\ESE-master\ese\01 Pop\Suki Suki Seijin\Suki Suki Seijin.tja,Oni,2265,False,398,398,398
000571_r629,data\cache\encoder_v1\000571_r629.npz,EAT’EM UP！,D:\taiko\ESE-master\ese\07 Game Music\EAT ‘EM UP!\EAT EM UP!.tja,Oni,2449,False,602,602,602
000563_r621,data\cache\encoder_v1\000563_r621.npz,フリフリ♪ノリノリ♪(裏),D:\taiko\ESE-master\ese\09 Namco Original\Furi-furi♪ Nori-nori♪\Furi-furi  Nori-nori.tja,Edit,2354,False,665,665,665
001232_r1375,data\cache\encoder_v1\001232_r1375.npz,きみのあかり,D:\taiko\ESE-master\ese\09 Namco Original\Kimi no Akari\Kimi no Akari.tja,Oni,2726,False,382,382,382
000664_r734,data\cache\encoder_v1\000664_r734.npz,天妖ノ舞,D:\taiko\ESE-master\ese\09 Namco Original\Tenyou no Mai\Tenyou no Mai.tja,Oni,2199,False,687,687,687
000025_r31,data\cache\encoder_v1\000025_r31.npz,疾風怒濤(裏),D:\taiko\ESE-master\ese\09 Namco Original\Shippuudotou\Shippuudotou.tja,Edit,2699,False,1083,1083,1083
000629_r693,data\cache\encoder_v1\000629_r693.npz,くりんぼ！,D:\taiko\ESE-master\ese\09 Namco Original\Chrimbo\Chrimbo.tja,Oni,2788,False,536,536,536
001156_r1291,data\cache\encoder_v1\001156_r1291.npz,お願い！シンデレラ,D:\taiko\ESE-master\ese\07 Game Music\Onegai! Cinderella\Onegai! Cinderella.tja,Oni,2453,False,419,419,419
000652_r719,data\cache\encoder_v1\000652_r719.npz,ドローイン☆ドリーム！,D:\taiko\ESE-master\ese\09 Namco Original\Drawin’☆Dream!\Drawin Dream!.tja,Oni,2466,False,532,532,532
000778_r866,data\cache\encoder_v1\000778_r866.npz,明星ロケット,D:\taiko\ESE-master\ese\05 Variety\Akeboshi Rocket\Akeboshi Rocket.tja,Oni,2554,False,560,560,560
000234_r261,data\cache\encoder_v1\000234_r261.npz,最終鬼畜妹フランドール・S,D:\taiko\ESE-master\ese\05 Variety\Last Brutal Sister Flandre S\Last Brutal Sister Flandre S.tja,Oni,2713,False,945,945,945
000706_r781,data\cache\encoder_v1\000706_r781.npz,幻想に咲いた花,D:\taiko\ESE-master\ese\05 Variety\Gensou ni Saita Hana\Gensou ni Saita Hana.tja,Oni,3085,False,740,740,740
001035_r1155,data\cache\encoder_v1\001035_r1155.npz,twinkle night (feat. somunia),D:\taiko\ESE-master\ese\05 Variety\twinkle night (feat. somunia)\twinkle night (feat. somunia).tja,Oni,2467,False,590,590,590
000075_r84,data\cache\encoder_v1\000075_r84.npz,赤と白薔薇の魔女,D:\taiko\ESE-master\ese\09 Namco Original\Aka to Shiro Bara no Majo\Aka to Shiro Bara no Majo.tja,Oni,2500,False,1111,1111,1111
001021_r1139,data\cache\encoder_v1\001021_r1139.npz,シンデレラ,D:\taiko\ESE-master\ese\03 Vocaloid\Cinderella\Cinderella.tja,Oni,3272,False,661,661,661
000558_r616,data\cache\encoder_v1\000558_r616.npz,零の狂詩曲,D:\taiko\ESE-master\ese\09 Namco Original\Zero no Rhapsody\Zero no Rhapsody.tja,Oni,3066,False,835,835,835
000693_r766,data\cache\encoder_v1\000693_r766.npz,ハイスペックニート,D:\taiko\ESE-master\ese\03 Vocaloid\High Spec NEET\High Spec NEET.tja,Oni,1669,False,429,429,429
000977_r1091,data\cache\encoder_v1\000977_r1091.npz,オレンジ,D:\taiko\ESE-master\ese\02 Anime\Orange\Orange.tja,Oni,2146,False,439,439,439
000753_r831,data\cache\encoder_v1\000753_r831.npz,踊,D:\taiko\ESE-master\ese\01 Pop\Odo\Odo.tja,Oni,2363,False,439,439,439
001229_r1372,data\cache\encoder_v1\001229_r1372.npz,見たこともない景色,D:\taiko\ESE-master\ese\01 Pop\Mita-koto mo Nai Keshiki\Mita-koto mo Nai Keshiki.tja,Oni,2286,False,329,329,329
000317_r351,data\cache\encoder_v1\000317_r351.npz,ラ・カンパネラ(裏),D:\taiko\ESE-master\ese\06 Classical\La Campanella\La Campanella.tja,Edit,2546,False,705,705,705
000654_r722,data\cache\encoder_v1\000654_r722.npz,ニジイロバトン,D:\taiko\ESE-master\ese\09 Namco Original\Nijiiro Baton\Nijiiro Baton.tja,Oni,2977,False,713,713,713
000333_r367,data\cache\encoder_v1\000333_r367.npz,Sunset Runaway,D:\taiko\ESE-master\ese\07 Game Music\Sunset Runaway\Sunset Runaway.tja,Oni,2589,False,610,610,610
000677_r748,data\cache\encoder_v1\000677_r748.npz,GORI × GORI × SafaRI,D:\taiko\ESE-master\ese\09 Namco Original\GORI x GORI x SafaRI\GORI x GORI x SafaRI.tja,Oni,3235,False,606,606,606
000092_r102,data\cache\encoder_v1\000092_r102.npz,Behemoth,D:\taiko\ESE-master\ese\09 Namco Original\Behemoth\Behemoth.tja,Oni,2500,False,999,999,999
000177_r193,data\cache\encoder_v1\000177_r193.npz,アンリミテッドゲームズ,D:\taiko\ESE-master\ese\09 Namco Original\Unlimited Games\Unlimited Games.tja,Oni,2969,False,833,833,833
000247_r278,data\cache\encoder_v1\000247_r278.npz,Aloft in the wind(裏),D:\taiko\ESE-master\ese\09 Namco Original\Aloft in the wind\Aloft in the wind.tja,Edit,2431,False,784,784,784
000533_r585,data\cache\encoder_v1\000533_r585.npz,Star!!(裏),D:\taiko\ESE-master\ese\07 Game Music\Star!!\Star!!.tja,Edit,1860,False,530,530,530
000853_r950,data\cache\encoder_v1\000853_r950.npz,リバイバー,D:\taiko\ESE-master\ese\09 Namco Original\Reviver\Reviver.tja,Oni,3043,False,765,765,765
000231_r257,data\cache\encoder_v1\000231_r257.npz,ex寅 Trap!!,D:\taiko\ESE-master\ese\09 Namco Original\exTora Trap!!\exTora Trap!!.tja,Oni,2827,False,888,888,888
000150_r164,data\cache\encoder_v1\000150_r164.npz,Agent Hustle & Dr. Hassle,D:\taiko\ESE-master\ese\09 Namco Original\Agent Hustle and Dr. Hassle\Agent Hustle and Dr. Hassle.tja,Oni,2542,False,693,693,693
000007_r10,data\cache\encoder_v1\000007_r10.npz,poxei♦DOON,D:\taiko\ESE-master\ese\09 Namco Original\poxei DOON\poxei DOON.tja,Oni,3293,False,1210,1210,1210
000905_r1010,data\cache\encoder_v1\000905_r1010.npz,アニマル,D:\taiko\ESE-master\ese\03 Vocaloid\Animal\Animal.tja,Oni,3273,False,824,824,824
000901_r1006,data\cache\encoder_v1\000901_r1006.npz,ルカルカ★ナイトフィーバー,D:\taiko\ESE-master\ese\03 Vocaloid\Luka Luka★Night Fever\Luka Luka Night Fever.tja,Oni,2012,False,485,485,485
000534_r586,data\cache\encoder_v1\000534_r586.npz,KARMA(Tatsujin Mix),D:\taiko\ESE-master\ese\07 Game Music\KARMA -Tatsujin Mix-\KARMA -Tatsujin Mix-.tja,Oni,2995,False,876,876,876
000176_r192,data\cache\encoder_v1\000176_r192.npz,4+1のそれぞれの未来,D:\taiko\ESE-master\ese\03 Vocaloid\4+1 no Sorezore no Mirai\4+1 no Sorezore no Mirai.tja,Oni,3062,False,876,876,876
000186_r203,data\cache\encoder_v1\000186_r203.npz,イオシス秋の爆食祭2024,D:\taiko\ESE-master\ese\09 Namco Original\IOSYS Aki no Bakushoku Matsuri 2024\IOSYS Aki no Bakushoku Matsuri 2024.tja,Oni,3122,False,811,811,811
000820_r914,data\cache\encoder_v1\000820_r914.npz,ダーリンダンス,D:\taiko\ESE-master\ese\03 Vocaloid\Darling Dance\Darling Dance.tja,Oni,2737,False,728,728,728
000495_r540,data\cache\encoder_v1\000495_r540.npz,モルフォ,D:\taiko\ESE-master\ese\09 Namco Original\Morpho\Morpho.tja,Oni,2255,False,714,714,714
000084_r94,data\cache\encoder_v1\000084_r94.npz,デッド・オア・ダイ,D:\taiko\ESE-master\ese\09 Namco Original\Dead or Die\Dead or Die.tja,Oni,2894,False,1096,1096,1096
001179_r1316,data\cache\encoder_v1\001179_r1316.npz,S(mile)ING！,D:\taiko\ESE-master\ese\07 Game Music\S(mile)ING!\S(mile)ING!.tja,Oni,2963,False,515,515,515
000741_r819,data\cache\encoder_v1\000741_r819.npz,道化師の朝の歌,D:\taiko\ESE-master\ese\06 Classical\Alborada del Gracioso\Alborada del Gracioso.tja,Oni,2215,False,529,529,529
001186_r1325,data\cache\encoder_v1\001186_r1325.npz,あーーっす！,D:\taiko\ESE-master\ese\02 Anime\UUUUUS\UUUUUS.tja,Oni,1932,False,365,365,365
000454_r496,data\cache\encoder_v1\000454_r496.npz,Irodoru♡Future,D:\taiko\ESE-master\ese\03 Vocaloid\Irodoru Future\Irodoru Future.tja,Oni,3038,False,850,850,850
000171_r187,data\cache\encoder_v1\000171_r187.npz,極圏,D:\taiko\ESE-master\ese\07 Game Music\Kyokuken\Kyokuken.tja,Oni,2579,False,944,944,944
000161_r175,data\cache\encoder_v1\000161_r175.npz,閃光天舞,D:\taiko\ESE-master\ese\09 Namco Original\Senkou Tenbu\Senkou Tenbu.tja,Oni,2468,False,905,905,904
000834_r929,data\cache\encoder_v1\000834_r929.npz,もしもし神様,D:\taiko\ESE-master\ese\03 Vocaloid\Moshi-moshi Kamisama\Moshi-moshi Kamisama.tja,Oni,2585,False,656,656,656
000119_r129,data\cache\encoder_v1\000119_r129.npz,プチポチ,D:\taiko\ESE-master\ese\06 Classical\Puchipochi\Puchipochi.tja,Oni,2208,False,877,877,877
000093_r103,data\cache\encoder_v1\000093_r103.npz,ココドコ？多分ドッカ島！(裏),D:\taiko\ESE-master\ese\09 Namco Original\Koko Doko Tabun Dokka-tou\Koko Doko Tabun Dokka-tou.tja,Edit,4063,False,939,939,939
000959_r1072,data\cache\encoder_v1\000959_r1072.npz,I my moko,D:\taiko\ESE-master\ese\01 Pop\I my moko\I my moko.tja,Oni,2327,False,465,465,465
000082_r92,data\cache\encoder_v1\000082_r92.npz,Irregular Clock(裏),D:\taiko\ESE-master\ese\09 Namco Original\Irregular Clock\Irregular Clock.tja,Edit,3064,False,1159,1159,1159
001168_r1303,data\cache\encoder_v1\001168_r1303.npz,天体観測,D:\taiko\ESE-master\ese\01 Pop\Tentai Kansoku\Tentai Kansoku -New Audio-.tja,Oni,1809,False,406,406,406
000833_r928,data\cache\encoder_v1\000833_r928.npz,前前前世,D:\taiko\ESE-master\ese\01 Pop\Zen Zen Zense\Zen Zen Zense.tja,Oni,1933,False,466,466,466
001131_r1261,data\cache\encoder_v1\001131_r1261.npz,犬吠える,D:\taiko\ESE-master\ese\09 Namco Original\Inu Hoeru\Inu Hoeru.tja,Oni,2471,False,580,580,580
000367_r402,data\cache\encoder_v1\000367_r402.npz,STAGE 0.ac11,D:\taiko\ESE-master\ese\09 Namco Original\STAGE 0.ac11\STAGE 0.ac11.tja,Oni,2857,False,765,765,765
000407_r443,data\cache\encoder_v1\000407_r443.npz,タイコタイム(裏),D:\taiko\ESE-master\ese\09 Namco Original\Taiko Time\Taiko Time.tja,Edit,2796,False,876,876,876
000289_r322,data\cache\encoder_v1\000289_r322.npz,Shiny Kung-fu Revival,D:\taiko\ESE-master\ese\09 Namco Original\Shiny Kung-fu Revival\Shiny Kung-fu Revival.tja,Oni,2630,False,765,765,765
000305_r338,data\cache\encoder_v1\000305_r338.npz,ゴーゴー・キッチン(裏),D:\taiko\ESE-master\ese\09 Namco Original\Go Go Kitchen\Go Go Kitchen.tja,Edit,2686,False,940,940,940
000601_r663,data\cache\encoder_v1\000601_r663.npz,ウサテイ,D:\taiko\ESE-master\ese\05 Variety\Usatei\Usatei.tja,Oni,2428,False,693,693,693
000924_r1030,data\cache\encoder_v1\000924_r1030.npz,ユウガオノキミ,D:\taiko\ESE-master\ese\09 Namco Original\Yuugao no Kimi\Yuugao no Kimi.tja,Oni,2626,False,480,480,480
000066_r74,data\cache\encoder_v1\000066_r74.npz,GORI × GORI × SafaRI(裏),D:\taiko\ESE-master\ese\09 Namco Original\GORI x GORI x SafaRI\GORI x GORI x SafaRI.tja,Edit,3235,False,1054,1054,1054
000688_r761,data\cache\encoder_v1\000688_r761.npz,チェインクロニクル 最終決戦メドレー,D:\taiko\ESE-master\ese\07 Game Music\Chain Chronicle Final Battle Medley\Chain Chronicle Final Battle Medley.tja,Oni,2788,False,713,713,713
000981_r1096,data\cache\encoder_v1\000981_r1096.npz,カ！カ！カ！カミズモード！,D:\taiko\ESE-master\ese\02 Anime\Ka! Ka! Ka! Kamizmode!\Ka! Ka! Ka! Kamizmode!.tja,Oni,1928,False,446,446,446
000475_r519,data\cache\encoder_v1\000475_r519.npz,TOKIMEKIエスカレート(裏),D:\taiko\ESE-master\ese\07 Game Music\TOKIMEKI Escalate\TOKIMEKI Escalate.tja,Edit,2659,False,667,667,667
001114_r1243,data\cache\encoder_v1\001114_r1243.npz,JOIN US,D:\taiko\ESE-master\ese\01 Pop\JOIN US\JOIN US.tja,Oni,2311,False,420,420,420
